PLAYER,PLAYER,2010/11,2010/11(*)
294,Jeff Teague,"$1,476,840","$2,067,291"
295,Alexis Ajinca,"$1,467,840","$2,054,693"
296,Avery Bradley,"$1,418,160","$1,985,150"
297,Eric Maynor,"$1,417,800","$1,984,646"
298,Ryan Anderson,"$1,409,040","$1,972,384"
298,Courtney Lee,"$1,409,040","$1,972,384"
300,Roger Mason,"$1,400,000","$1,959,730"
301,Ronnie Price,"$1,380,000","$1,931,734"
302,James Anderson,"$1,361,400","$1,905,697"
303,Darren Collison,"$1,361,040","$1,905,193"
304,Kosta Koufos,"$1,352,640","$1,893,435"
305,Tony Battie,"$1,352,181","$1,892,792"
305,Anthony Carter,"$1,352,181","$1,892,792"
305,Earl Boykins,"$1,352,181","$1,892,792"
305,Eddie House,"$1,352,181","$1,892,792"
305,Juwan Howard,"$1,352,181","$1,892,792"
305,Zydrunas Ilgauskas,"$1,352,181","$1,892,792"
305,Joe Smith,"$1,352,181","$1,892,792"
305,Theo Ratliff,"$1,352,181","$1,892,792"
305,Tracy McGrady,"$1,352,181","$1,892,792"
305,Brian Cardinal,"$1,352,181","$1,892,792"
305,Kurt Thomas,"$1,352,181","$1,892,792"
305,Shaquille O'Neal,"$1,352,181","$1,892,792"
305,Jason Collins,"$1,352,181","$1,892,792"
318,Craig Brackins,"$1,306,920","$1,829,436"
319,Sean Marks,"$1,264,687","$1,770,318"
320,Elliot Williams,"$1,254,720","$1,756,366"
321,Omri Casspi,"$1,254,480","$1,756,030"
322,Rudy Fernandez,"$1,246,680","$1,745,111"
323,Earl Watson,"$1,229,255","$1,720,720"
323,Malik Allen,"$1,229,255","$1,720,720"
323,Jamaal Magloire,"$1,229,255","$1,720,720"
323,Brian Scalabrine,"$1,229,255","$1,720,720"
323,Kwame Brown,"$1,229,255","$1,720,720"
328,Carlos Arroyo,"$1,223,166","$1,712,196"
328,Melvin Ely,"$1,223,166","$1,712,196"
328,Etan Thomas,"$1,223,166","$1,712,196"
331,Trevor Booker,"$1,204,560","$1,686,151"
332,BJ Mullens,"$1,204,200","$1,685,647"
332,Serge Ibaka,"$1,204,200","$1,685,647"
334,Royal Ivey,"$1,200,000","$1,679,768"
335,Nicolas Batum,"$1,196,760","$1,675,233"
336,George Hill,"$1,157,160","$1,619,801"
337,Damion James,"$1,156,320","$1,618,625"
338,Rodrigue Beaubois,"$1,156,080","$1,618,289"
339,Francisco Elson,"$1,146,337","$1,604,650"
339,Brian Cook,"$1,146,337","$1,604,650"
339,Quinton Ross,"$1,146,337","$1,604,650"
342,Erick Dampier,"$1,129,469","$1,581,038"
343,Darrell Arthur,"$1,123,680","$1,572,935"
344,Taj Gibson,"$1,117,680","$1,564,536"
345,Donte Greene,"$1,116,840","$1,563,360"
346,Dominique Jones,"$1,110,120","$1,553,954"
347,DJ White,"$1,108,680","$1,551,938"
348,Kyrylo Fesenko,"$1,087,500","$1,522,290"
349,DeMarre Carroll,"$1,085,400","$1,519,350"
350,Wayne Ellington,"$1,078,800","$1,510,112"
351,Quincy Pondexter,"$1,073,280","$1,502,385"
352,Toney Douglas,"$1,071,000","$1,499,193"
353,Josh Powell,"$1,069,609","$1,497,246"
354,Didier Ilunga-Mbenga,"$1,069,509","$1,497,106"
354,James Jones,"$1,069,509","$1,497,106"
354,Delonte West,"$1,069,509","$1,497,106"
357,Jordan Crawford,"$1,042,320","$1,459,047"
358,Greivis Vasquez,"$1,035,960","$1,450,144"
359,Aaron Gray,"$1,028,840","$1,440,177"
360,Daniel Orton,"$1,028,400","$1,439,561"
361,Lazar Hayward,"$1,020,960","$1,429,147"
361,Christian Eyenga,"$1,020,960","$1,429,147"
363,Jon Brockman,"$1,000,000","$1,399,807"
364,Antoine Wright,"$992,680","$1,389,560"
364,Luther Head,"$992,680","$1,389,560"
364,Fabricio Oberto,"$992,680","$1,389,560"
364,Joey Graham,"$992,680","$1,389,560"
364,Stephen Graham,"$992,680","$1,389,560"
364,Hilton Armstrong,"$992,680","$1,389,560"
370,Patrick Mills,"$937,195","$1,311,892"
371,DeJuan Blair,"$918,000","$1,285,023"
372,Shelden Williams,"$915,852","$1,282,016"
372,Leon Powe,"$915,852","$1,282,016"
372,Von Wafer,"$915,852","$1,282,016"
375,Sam Young,"$886,000","$1,240,229"
376,Shawne Williams,"$885,210","$1,239,123"
377,Josh McRoberts,"$885,120","$1,238,997"
378,Dominic McGuire,"$884,120","$1,237,597"
379,Chris Quinn,"$861,978","$1,206,603"
380,Acie Law,"$859,087","$1,202,555"
381,Cartier Martin,"$854,389","$1,195,979"
381,Joey Dorsey,"$854,389","$1,195,979"
381,Sonny Weems,"$854,389","$1,195,979"
381,Darnell Jackson,"$854,389","$1,195,979"
381,Henry Walker,"$854,389","$1,195,979"
381,Chris Douglas-Roberts,"$854,389","$1,195,979"
381,Luc Mbah a Moute,"$854,389","$1,195,979"
381,Mario Chalmers,"$854,389","$1,195,979"
381,DeAndre Jordan,"$854,389","$1,195,979"
390,Jermaine Taylor,"$780,871","$1,093,068"
390,Chase Budinger,"$780,871","$1,093,068"
392,Solomon Alabi,"$770,000","$1,077,851"
393,Ian Mahinmi,"$762,196","$1,066,927"
394,Marcus Thornton,"$762,195","$1,066,926"
394,Jodie Meeks,"$762,195","$1,066,926"
394,AJ Price,"$762,195","$1,066,926"
394,Reggie Williams,"$762,195","$1,066,926"
394,Jonas Jerebko,"$762,195","$1,066,926"
394,DaJuan Summers,"$762,195","$1,066,926"
394,Derrick Brown,"$762,195","$1,066,926"
394,Dante Cunningham,"$762,195","$1,066,926"
402,Lance Stephenson,"$750,000","$1,049,855"
403,Damien Wilkins,"$748,656","$1,047,974"
404,Steve Novak,"$734,945","$1,028,781"
405,Hassan Whiteside,"$730,437","$1,022,471"
406,Alonzo Gee,"$681,492","$953,956"
407,Rodney Carney,"$651,872","$912,494"
408,Jarron Collins,"$643,551","$900,847"
409,Ike Diogu,"$608,772","$852,163"
410,Andy Rautins,"$600,000","$839,884"
411,Gary Neal,"$525,000","$734,898"
412,Willie Warren,"$500,000","$699,903"
412,Samardo Samuels,"$500,000","$699,903"
414,Garret Siler,"$473,640","$663,004"
414,Gani Lawal,"$473,640","$663,004"
416,Hamady N'Diaye,"$473,604","$662,954"
416,Jeremy Evans,"$473,604","$662,954"
416,Pooh Jeter,"$473,604","$662,954"
416,Armon Johnson,"$473,604","$662,954"
416,Landry Fields,"$473,604","$662,954"
416,Da'Sean Butler,"$473,604","$662,954"
416,Dexter Pittman,"$473,604","$662,954"
416,Patrick Beverley,"$473,604","$662,954"
416,Ishmael Smith,"$473,604","$662,954"
416,Derrick Caracter,"$473,604","$662,954"
416,Devin Ebanks,"$473,604","$662,954"
416,Jeremy Lin,"$473,604","$662,954"
416,Terrico White,"$473,604","$662,954"
416,Gary Forbes,"$473,604","$662,954"
416,Manny Harris,"$473,604","$662,954"
416,Luke Harangody,"$473,604","$662,954"
416,Semih Erden,"$473,604","$662,954"
416,Sherron Collins,"$473,604","$662,954"
416,Ben Uzoh,"$473,604","$662,954"
416,Pape Sy,"$473,604","$662,954"
436,Pops Mensah-Bonsu,"$364,461","$510,175"
437,Jeff Adrien,"$342,666","$479,666"
438,Sundiata Gaines,"$327,296","$458,150"
439,Jawad Williams,"$321,652","$450,250"
440,Brian Skinner,"$270,436","$378,558"
441,Ime Udoka,"$264,232","$369,873"
442,Zabian Dowdell,"$242,374","$339,276"
443,Jerry Stackhouse,"$222,712","$311,753"
444,John Lucas,"$208,264","$291,529"
445,Aleksandar Pavlovic,"$202,295","$283,173"
446,Lester Hudson,"$192,791","$269,870"
447,Earl Barron,"$188,558","$263,944"
448,Garrett Temple,"$170,373","$238,488"
449,Chris Johnson,"$164,368","$230,083"
450,Darington Hobson,"$103,078","$144,289"
451,Danny Green,"$94,154","$131,797"
452,Joe Alexander,"$90,465","$126,633"
453,Mustafa Shakur,"$89,670","$125,520"
453,Trey Johnson,"$89,670","$125,520"
455,Maurice Ager,"$83,305","$116,610"
456,Bobby Simmons,"$71,951","$100,717"
457,Matt Janning,"$58,504","$81,894"
458,Ronald Dupree,"$58,393","$81,738"
459,Larry Owens,"$55,718","$77,994"
